ERROR 2026-03-30 16:36:50,398 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TC2Lib--LTSPICE-main//sym//TCLib//Special//arrow.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:53,491 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/EuropeanResistor.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:55,984 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/inv.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:56,012 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/Digital//inv.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:56,031 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/Digital//inv.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:56,038 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TCLib//Special//xtal.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:56,053 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/Digital//inv.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:56,058 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TCLib//Special//xtal.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:58,991 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/EuropeanResistor.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:36:59,979 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/EuropeanResistor.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:02,006 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/res_rec.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
